config_id,config_hash,checkpoint_hash,random_seed,MAX_NODES,MAX_HEIGHT,init_pop_method,max_iterations,pop_size,tourn_size,cxpb,mutpb,constants_range_json,ELITE_SIZE,LOG_METRICS_EVERY,hof_size,best_train_r2,best_test_r2,best_train_huber_loss,best_train_adj_r2,best_test_adj_r2,best_train_smape,best_test_smape,best_train_mae,best_test_mae,best_num_nodes,best_height,best_expression,hof_csv,population_csv,checkpoint_path,reached_target,stop_reason
beam_grid_0149,4169a9ecc9,976571878b,42,400,30,oblesa,100,2000,100,0.6,0.65,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0149_4169a9ecc9_hall_of_fame.csv,results/exp_perf_beam_grid_search_0149_4169a9ecc9_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_976571878b.pkl,False,max_iterations
beam_grid_0160,f93ded5fb4,fb58df02d4,42,400,30,oblesa,100,2000,100,0.65,0.65,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0160_f93ded5fb4_hall_of_fame.csv,results/exp_perf_beam_grid_search_0160_f93ded5fb4_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_fb58df02d4.pkl,False,max_iterations
beam_grid_0162,c602b0529d,e2e513ae5d,42,400,30,oblesa,100,2000,100,0.65,0.7,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0162_c602b0529d_hall_of_fame.csv,results/exp_perf_beam_grid_search_0162_c602b0529d_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_e2e513ae5d.pkl,False,max_iterations
beam_grid_0165,9576bb1a60,17b42b7eef,42,400,30,oblesa,100,2000,100,0.7,0.45,"[-100.0, 100.0]",10,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0165_9576bb1a60_hall_of_fame.csv,results/exp_perf_beam_grid_search_0165_9576bb1a60_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_17b42b7eef.pkl,False,max_iterations
beam_grid_0167,fcdc31f0e4,fea994ecfa,42,400,30,oblesa,100,2000,100,0.7,0.55,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0167_fcdc31f0e4_hall_of_fame.csv,results/exp_perf_beam_grid_search_0167_fcdc31f0e4_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_fea994ecfa.pkl,False,max_iterations
beam_grid_0169,68b4679f5c,cbe1aa3187,42,400,30,oblesa,100,2000,120,0.55,0.45,"[-100.0, 100.0]",10,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0169_68b4679f5c_hall_of_fame.csv,results/exp_perf_beam_grid_search_0169_68b4679f5c_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_cbe1aa3187.pkl,False,max_iterations
beam_grid_0171,39b1746706,ec4663d7c6,42,400,30,oblesa,100,2000,120,0.55,0.55,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0171_39b1746706_hall_of_fame.csv,results/exp_perf_beam_grid_search_0171_39b1746706_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_ec4663d7c6.pkl,False,max_iterations
beam_grid_0173,2531eaba3f,8d603e996f,42,400,30,oblesa,100,2000,120,0.55,0.65,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0173_2531eaba3f_hall_of_fame.csv,results/exp_perf_beam_grid_search_0173_2531eaba3f_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_8d603e996f.pkl,False,max_iterations
beam_grid_0175,c5d4b89a18,284f6d4b95,42,400,30,oblesa,100,2000,120,0.55,0.8,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0175_c5d4b89a18_hall_of_fame.csv,results/exp_perf_beam_grid_search_0175_c5d4b89a18_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_284f6d4b95.pkl,False,max_iterations
beam_grid_0177,b8f1f534ca,f4f110a260,42,400,30,oblesa,100,2000,120,0.6,0.55,"[-100.0, 100.0]",10,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0177_b8f1f534ca_hall_of_fame.csv,results/exp_perf_beam_grid_search_0177_b8f1f534ca_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_f4f110a260.pkl,False,max_iterations
beam_grid_0179,d399ab1196,32b15e5004,42,400,30,oblesa,100,2000,120,0.6,0.65,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0179_d399ab1196_hall_of_fame.csv,results/exp_perf_beam_grid_search_0179_d399ab1196_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_32b15e5004.pkl,False,max_iterations
beam_grid_0181,500e399d74,12e95def34,42,400,30,oblesa,100,2000,120,0.65,0.65,"[-100.0, 100.0]",10,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0181_500e399d74_hall_of_fame.csv,results/exp_perf_beam_grid_search_0181_500e399d74_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_12e95def34.pkl,False,max_iterations
beam_grid_0188,383e366421,d0d5a808ac,42,400,30,oblesa,100,2000,120,0.7,0.55,"[-100.0, 100.0]",10,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0188_383e366421_hall_of_fame.csv,results/exp_perf_beam_grid_search_0188_383e366421_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_d0d5a808ac.pkl,False,max_iterations
beam_grid_0190,fc4b0c4343,a71c3513a0,42,400,30,oblesa,100,2000,120,0.7,0.65,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0190_fc4b0c4343_hall_of_fame.csv,results/exp_perf_beam_grid_search_0190_fc4b0c4343_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_a71c3513a0.pkl,False,max_iterations
beam_grid_0191,5f7359aabe,7ab2ed1a6c,42,400,30,oblesa,100,2000,150,0.55,0.45,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0191_5f7359aabe_hall_of_fame.csv,results/exp_perf_beam_grid_search_0191_5f7359aabe_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_7ab2ed1a6c.pkl,False,max_iterations
beam_grid_0193,eb9a743871,d2b454217e,42,400,30,oblesa,100,2000,150,0.55,0.7,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0193_eb9a743871_hall_of_fame.csv,results/exp_perf_beam_grid_search_0193_eb9a743871_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_d2b454217e.pkl,False,max_iterations
beam_grid_0196,b38550940d,fcda458ddb,42,400,30,oblesa,100,2000,150,0.6,0.45,"[-100.0, 100.0]",10,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0196_b38550940d_hall_of_fame.csv,results/exp_perf_beam_grid_search_0196_b38550940d_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_fcda458ddb.pkl,False,max_iterations
beam_grid_0202,467fca2a29,6a1c9efc57,42,400,30,oblesa,100,2000,150,0.65,0.65,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0202_467fca2a29_hall_of_fame.csv,results/exp_perf_beam_grid_search_0202_467fca2a29_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_6a1c9efc57.pkl,False,max_iterations
beam_grid_0203,dfacf074b8,5606a15294,42,400,30,oblesa,100,2000,150,0.7,0.45,"[-100.0, 100.0]",10,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0203_dfacf074b8_hall_of_fame.csv,results/exp_perf_beam_grid_search_0203_dfacf074b8_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_5606a15294.pkl,False,max_iterations
beam_grid_0208,8d44bcd633,5a0262454e,42,400,30,oblesa,100,2500,80,0.65,0.45,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0208_8d44bcd633_hall_of_fame.csv,results/exp_perf_beam_grid_search_0208_8d44bcd633_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_5a0262454e.pkl,False,max_iterations
beam_grid_0210,9af7e84bf9,4a5317c98c,42,400,30,oblesa,100,2500,100,0.55,0.65,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0210_9af7e84bf9_hall_of_fame.csv,results/exp_perf_beam_grid_search_0210_9af7e84bf9_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_4a5317c98c.pkl,False,max_iterations
beam_grid_0213,644395daa6,7ea0d4afe9,42,400,30,oblesa,100,2500,100,0.6,0.45,"[-100.0, 100.0]",5,100,50,-2.3765618781368403e-05,-2.948145720615969e-05,0.042294909713917,-0.0010432125308297,-0.0041200218549859,0.4431874139205357,0.4432716916782482,0.2505411887398197,0.2505501731896907,1.0,0.0,0.6454022364828271,results/exp_perf_beam_grid_search_0213_644395daa6_hall_of_fame.csv,results/exp_perf_beam_grid_search_0213_644395daa6_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_7ea0d4afe9.pkl,False,max_iterations
